month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202110,41033,"josephine, or",510000,-0.0134,0.2753,258,0.0488,0.8429,53,0.247058824,-0.018518519,108,-0.069,0.2273,0,-1,-1,116,-0.0938,2.625,206,-0.1271,-0.2137,269.8724239,0.0252,0.2464,1864,-0.0045,-0.0292,630202.6986,0.0045,0.2024,464,-0.0373,0.1542,0.798449612,-0.1609,-1.073
202110,53073,"whatcom, wa",600000,-0.0399,0.2834,269,-0.0037,-0.4777,35,-0.014084507,-0.3,240,-0.1429,-0.0164,4,0,-0.5,56,-0.0667,-0.3333,342,-0.107,-0.1117,322.5593668,-0.0252,0.2226,1863,-0.0164,0.0707,803688.1284,-0.0404,0.3343,611,-0.0643,-0.3211,1.271375465,-0.1471,0.5238
202110,23011,"kennebec, me",275000,-0.0072,0.0377,254,-0.1241,-0.1241,53,0.177777778,0.152173913,120,-0.1892,-0.1429,4,,-0.5,88,-0.1852,0.2222,171,-0.1576,0.1554,164.6833829,-0.0162,0.1728,1542,-0.029,-0.1665,357400.6258,-0.0002,0.0043,425,-0.1379,-0.0297,0.673228346,-0.0268,0.1629
202110,54079,"putnam, wv",249900,-0.0198,0,76,0.1875,-0.1163,45,0.125,-0.134615385,52,0.0833,0.3,0,,,12,-0.25,-0.25,73,-0.1412,-0.3967,114.6201624,-0.0151,0.0543,2100,0.0236,0.0194,317520.1512,-0.0021,-0.0636,149,0,-0.2802,0.960526316,-0.3676,-0.4465
202110,38035,"grand forks, nd",289900,-0.0104,0.1193,176,-0.0112,-0.1927,50,0.136363636,-0.358974359,72,-0.1818,0.2857,8,,0,56,0.4,0,126,-0.0667,-0.0233,130.15625,0.0237,0.1784,2042,-0.0646,-0.0313,316027.3846,-0.0188,0.1534,302,-0.0351,-0.1297,0.715909091,-0.0425,0.1242
202110,15001,"hawaii, hi",525000,-0.0446,0.0521,507,-0.0039,-0.5034,43,0.146666667,-0.5,268,-0.1829,-0.1184,12,2,-0.5,108,0.125,-0.2703,561,-0.0427,-0.1614,366.0377358,0.0461,0.0183,1402,-0.044,-0.0565,1190374.738,0.0494,-0.0565,1068,-0.0247,-0.368,1.106508876,-0.0448,0.4513
202110,45077,"pickens, sc",305000,-0.024,0.0521,207,-0.1191,-0.3965,49,0.256410256,-0.234375,148,-0.0513,0,8,1,-0.5,68,-0.1905,-0.1053,430,-0.0046,-0.0966,0,,,0,,,573891.3675,0.0091,0.1433,637,-0.045,-0.2222,2.077294686,0.239,0.6895
202110,36065,"oneida, ny",189999,-0.0495,0.0555,567,-0.0422,-0.0884,130,0.06122449,6.647058824,172,-0.0851,0,0,-1,,92,-0.1481,-0.2069,1147,-0.0138,-0.0035,116.3366337,-0.0202,0.0717,1680,-0.0144,-0.0164,250933.9262,-0.0072,0.0454,1714,-0.0234,-0.0333,2.02292769,0.0584,0.1724
202110,6075,"san francisco, ca",1339000,0.0129,0.0106,1232,0.0713,-0.3523,35,0.129032258,-0.102564103,772,-0.1752,-0.1106,20,0.25,-0.1667,252,0.5366,-0.4836,695,0.2659,0.1301,1016.101695,-0.0008,0.0009,1275,0.0016,0.0442,2022593.007,-0.0068,0.0806,1927,0.1342,-0.2344,0.564123377,0.0867,0.2408
202110,42133,"york, pa",269900,0.0131,0.0381,578,-0.0825,-0.0781,55,0.134020619,0.078431373,416,-0.1111,-0.0189,28,-0.125,-0.125,200,-0.0741,0.1111,1013,-0.0923,-0.055,140.0203666,0.0123,0.0885,1855,0.0162,-0.0458,305421.9253,0.0061,0.0085,1591,-0.0888,-0.0636,1.752595156,-0.0188,0.0429
202110,12119,"sumter, fl",370000,0.0165,0.2337,197,0.0423,-0.5947,46,0.022222222,-0.220338983,124,0.0333,-0.3542,4,,-0.5,84,0.1667,-0.6557,269,-0.0528,-0.0461,217.2345679,0.0078,0.1601,1828,0.0293,0.0339,482874.2302,-0.0057,0.3143,466,-0.0148,-0.3932,1.365482234,-0.1372,0.7852
202110,17161,"rock island, il",115000,0.0128,-0.0718,828,0.0085,0.0712,851,0.038438072,0.747433265,180,0.0714,0.2162,4,,,172,0.303,0.6538,449,-0.0088,-0.0132,86.01147776,0.0005,-0.0091,1386,0.0029,-0.0584,157919.7763,-0.0004,-0.067,1277,0.0024,0.0399,0.542270531,-0.0095,-0.0463
202110,45003,"aiken, sc",274900,-0.0004,0.1,437,0.0607,-0.1329,51,0.108695652,-0.203125,288,0.2414,0.2,28,0.4,-0.5625,84,0,-0.3,723,-0.0778,0.6775,134.569378,0.0035,0.1405,2156,0,0.0005,363652.0245,-0.0546,0.0451,1160,-0.0301,0.2406,1.654462243,-0.2485,0.7993
202110,21015,"boone, ky",341175,0.0086,0.1376,161,0.0592,-0.0359,43,0.387096774,0.482758621,132,0.0645,-0.1316,4,,0,44,-0.2143,-0.2143,383,-0.0681,-0.0771,123.3876275,0,0.1303,1458,0.0337,-0.1503,425750.2229,-0.0065,0.1539,544,-0.0337,-0.0653,2.378881988,-0.3251,-0.1061
202110,32003,"clark, nv",439999,0.0233,0.2607,5825,0.0024,-0.3145,31,0.087719298,-0.243902439,3576,0.0034,-0.0619,236,-0.1918,-0.2237,1536,-0.1253,-0.3458,130,-0.0299,-0.0972,234.6041056,0.0131,0.2468,1897,0.0109,0.0349,671962.5986,0.0073,0.2728,5955,0.0017,-0.3108,0.022317597,-0.0007,0.0054
202110,5115,"pope, ar",219000,0.0953,0.1231,98,0.0889,-0.2519,43,0.387096774,-0.271186441,56,-0.125,-0.0667,0,,,40,1,0.4286,122,-0.1095,-0.1348,108.4793937,-0.0076,0.1351,1712,0.041,-0.1079,274081.8091,0.0092,0.0452,220,-0.0308,-0.1912,1.244897959,-0.2773,0.1686
202110,48135,"ector, tx",244800,-0.0008,-0.0396,665,-0.0445,0.0709,63,0,0.211538462,196,-0.0392,-0.125,4,,,180,-0.1509,-0.0625,194,-0.0977,0.1758,133.6814621,-0.0055,-0.0144,1864,-0.0045,-0.0231,320163.0634,-0.018,-0.0238,859,-0.0571,0.0929,0.291729323,-0.0172,0.026
202110,12081,"manatee, fl",469900,0.0158,0.362,628,-0.0233,-0.6107,39,0.098591549,-0.303571429,540,-0.0357,-0.2781,36,0,-0.8636,188,-0.2419,-0.5607,1384,-0.0128,-0.1732,247.3763118,-0.0019,0.3558,1859,0.0136,-0.0096,867484.1154,0.0369,0.5637,2012,-0.0161,-0.3879,2.203821656,0.0234,1.166
202110,6019,"fresno, ca",399990,0,0.1428,868,-0.028,0.0383,30,0.071428571,0,796,-0.0657,0.0874,44,0.375,0.1,260,0.0833,0.1607,612,-0.0192,-0.1013,226.4529058,0.0086,0.1737,1794,-0.0303,-0.0181,528051.6531,-0.3007,0.1244,1480,-0.0244,-0.0244,0.705069124,0.0063,-0.1095
202110,13255,"spalding, ga",269000,0.007,0.2085,207,-0.0961,0.3101,45,0.071428571,0.153846154,136,0.36,0.3077,8,-0.5,-0.5,48,0,0.7143,257,0.0753,0.5118,120.3628286,0.0127,0.2004,1586,-0.0177,-0.1362,287009.2509,0.0568,0.0959,464,-0.0085,0.4146,1.241545894,0.1979,0.1656
202110,37097,"iredell, nc",415000,-0.0391,0.1944,307,-0.0285,-0.2549,44,0.086419753,0,204,-0.1207,0.1591,28,0.4,-0.8158,96,-0.1111,0.2,317,-0.0335,-0.2324,178.0821918,-0.0269,0.2313,2359,0,-0.0367,595340.7474,0.0067,0.1403,624,-0.0311,-0.2436,1.03257329,-0.0054,0.0301
202110,48491,"williamson, tx",500000,-0.0109,0.3832,1112,-0.0655,0.1559,31,0.087719298,-0.279069767,972,-0.083,0.3279,112,0.0769,-0.7021,472,-0.2027,0.6857,834,-0.0425,-0.6356,235.3273138,-0.0004,0.4089,2216,-0.0072,-0.0045,615097.3482,-0.0053,0.4213,1946,-0.0558,-0.4014,0.75,0.0181,-1.6294
202110,13045,"carroll, ga",340000,-0.0299,0.1934,522,0.0785,-0.0745,39,0.068493151,-0.277777778,380,0.2025,0.4394,12,0,-0.7692,112,-0.2,-0.2222,731,-0.0519,0.0238,130.2179177,0.0109,0.1453,2100,0.0542,-0.0118,432459.226,0.0423,0.2484,1253,-0.0016,-0.0196,1.400383142,-0.1926,0.1344
